9.909920114967007976e-01,2.367759869837041398e-01,4.042599721857961015e+00,9.840454028208143189e-01,2.208426394899802025e-01,7.421777450831217315e-01
9.997776571147440894e-01,6.863371915219579344e-02,3.341608485669453898e-01,9.997647055018845652e-01,9.343083331760154708e-02,2.074773532905708762e-01
9.945744143424783967e-01,1.936302933967795348e-01,2.767087948998515401e+00,9.986243109725500000e-01,1.548658357524906881e-01,5.508116728804286488e-01
9.996257531813325103e-01,1.013952964476710350e-01,5.060825473871872759e-01,9.981598844802780368e-01,9.235607430542666640e-02,2.073893373645600002e-01
9.975978487253410742e-01,1.572089268778417148e-01,1.397594497526235102e+00,9.998388012054247875e-01,1.206397611361290506e-01,3.142507658750623989e-01
9.993604385651075894e-01,1.399541600042579770e-01,5.154895908442185259e-01,9.764074389461262493e-01,3.836118502426121291e-01,1.140302049410588658e+00
9.978265816717508674e-01,1.809087343928437175e-01,1.675661099633281026e+00,9.979302508073939482e-01,1.219760829139467789e-01,4.774840604691470425e-01
9.997609841290695520e-01,6.010186667757619339e-02,4.529276332349141398e-01,9.998393153439504299e-01,9.583652474870724136e-02,2.937643993667830022e-01
9.811007999151485359e-01,3.864302631695232249e-01,4.915121988347117110e+00,9.954494927658610326e-01,1.976705611625754477e-01,4.715271795496887575e-01
9.998258200720440136e-01,6.706655591953093742e-02,3.172172362313217531e-01,9.939032489027890271e-01,1.009521180719787914e-01,4.559335103474078110e-01
