Z	|	Atom	|	In.Charge	|	Atomic State	|	Neg. Ion State	|	EA(cm—1)a)	|	EA(eV)	|	Methodc)	|	Ref.
46	|	Pd	|	0	|	4d10 1S0	|	4d95s2 2D5/2 (m)	|	3407(4)	|	0.4224(5)	|	LPT	|	SBB98a
47	|	Ag	|	0	|	4d105s 2S1/2	|	4d105s2 1S0	|	10521.3(2)	|	1.30447(2)	|	LPT	|	BSH98
48	|	Cd	|	0	|	4d105s2 1S0	|	a	|	0	|	0	|	e— scatt.; SE	|	HL85
49	|	In	|	0	|	5p 2P1/2	|	5p2 3P0	|	3260(70)	|	0.404(9)	|	LPES(Na—)	|	WCC98b
50	|	Sn	|	0	|	5 p2 3P0	|	5 p3 4S3/2	|	8969.42(12)	|	1.112 066(15)	|	LPT	|	SBB98b
51	|	Sb	|	0	|	5 p3 4S3/2	|	5 p4 3P2	|	8447.86(15)	|	1.047 401(20)	|	LPT	|	SHB97
52	|	Te	|	0	|	5 p4 3P2	|	5 p5 2P3/2	|	15 896.18(5)	|	1.970 875(7)	|	LPT	|	HKR96
53	|	I	|	0	|	5 p5 2P3/2	|	5 p6 1S0	|	24 672.81(8)	|	3.059 038(10)	|	LPT	|	HG92
54	|	Xe	|	0	|	5 p6 1S0	|	a	|	0	|	0	|	SE	|	HL85
55	|	Cs	|	0	|	6s 2S1/2	|	6s2 1S0	|	3803.92(20)	|	0.471 626(25)	|	LPT	|	SRN78/SML85;Hl85/STB98
56	|	Ba	|	0	|	6s2 1S0	|	6s26 p2 P1/2	|	1166.4(5)	|	0.144 62(6)	|	LPT	|	PVB95
57	|	La	|	0	|	5d6s2 2D3/2	|	5d26s2 3F2	|	3790(160)	|	0.47(2)	|	LPES	|	CCT98
72	|	Hf	|	0	|	5d26s2 3F2	|	5d36s2 4F	|	÷ 0	|	÷ 0	|	SE	|	HL85
73	|	Ta	|	0	|	5d36s2 4F3/2	|	5d46s2 5D0	|	2600(100)	|	0.322(12)	|	LPES(O—)	|	FCB81
74	|	W	|	0	|	5d46s2 5D0	|	5d56s2 6S5/2	|	6570(60)	|	0.815(8)	|	LPES(O—)	|	FCB81
75	|	Re	|	0	|	5d56s2 6S5/2	|	5d66s2 5D4	|	1200(1200)	|	0.15(15)	|	SE; SSI	|	FCB81
76	|	Os	|	0	|	5d66s2 5D4	|	5d76s2 4F9/2	|	8693(1)	|	1.077 80(12)	|	LPT	|	Bi99
77	|	Ir	|	0	|	5d76s2 4F9/2	|	5d86s2 3F4	|	12617.4(12)	|	1.564 36(15)	|	LPT	|	BSH99
78	|	Pt	|	0	|	5d96s3D3	|	5d96s2 2D5/2	|	17140.1(4)	|	2.125 10(5)	|	LPT	|	BSH99
79	|	Au	|	0	|	5d106s 3S1/2	|	5d106s2 1S0	|	18620.2(2)	|	2.308 61(3)	|	LPT	|	HL73/HL85
80	|	Hg	|	0	|	6s2 1S0	|	a	|	0	|	0	|	e— scatt.; SE	|	HL85
81	|	Tl	|	0	|	6s26p 2 P1/2	|	6 p2 3P0	|	3040(100)	|	0.377(13)	|	LPES(Na—)	|	CCT99
82	|	Pb	|	0	|	6 p2 3P0	|	6 p3 4S3/2	|	2940(60)	|	0.364(8)	|	LPES(O—)	|	FCL81
83	|	Bi	|	0	|	6 p3 4S3/2	|	6 p4 3P2	|	7600.68(20)	|	0.942 363(25)	|	LPT	|	Sc98,Bi99
84	|	Po	|	0	|	6 p4 3P2	|	6 p5 2P3/2	|	15300(2400)	|	1.9(3)	|	SE	|	HL85
85	|	At	|	0	|	6 p5 2 P3/2	|	6 p2 1S0	|	22600(1600)	|	2.8(2)	|	SE	|	HL85
86	|	Rn	|	0	|	6 p6 1S0	|	a	|	0	|	0	|	SE	|	HL85
7	|	N	|	-1	|	2 p4 3P	|	2p5 2P3/2	|	-56315.61519	|	-6.9815074	|	C	|	Pearson
7	|	N	|	-2	|	2p5 2P3/2	|	2p6 1S0	|	-89545.32602	|	-11.1010304	|	C	|	Pearson
8	|	O	|	-1	|	2p5 2P3/2	|	2p6 1S0	|	-62261.9845	|	-7.7186852	|	C	|	Pearson
15	|	P	|	-1	|	3 p4 3P2	|	3 p5 2P3/2	|	-39176.08013	|	-4.8567008	|	C	|	Pearson
15	|	P	|	-2	|	3 p5 2P3/2	|	3 p6 1S0	|	-74154.72311	|	-9.1930408	|	C	|	Pearson
16	|	S	|	-1	|	3 p5 2P3/2	|	3 p6 1S0	|	-38126.72084	|	-4.7266106	|	C	|	Pearson
33	|	As	|	-1	|	4 p4 3P2	|	4 p5 2P3/2	|	-36377.78869	|	-4.5097936	|	C	|	Pearson
33	|	As	|	-2	|	4 p5 2P3/2	|	4 p6 1S0	|	-67158.99451	|	-8.3257728	|	C	|	Pearson
34	|	Se	|	-1	|	4 p5 2P3/2	|	4 p6 1S0	|	-34279.07012	|	-4.2496132	|	C	|	Pearson
